conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,normalization,tokenisasi,lemma_content
1882993167135585024,Sat Jan 25 05:08:02 +0000 2025,0,typo anyingg sesar apaan sesar lembang,1883018971114586210,,carpentrest,in,,0,1,0,https://x.com/undefined/status/1883018971114586210,1284778320626774016,,typo anyingg sesar apa sesar lembang,"['typo', 'anyingg', 'sesar', 'apa', 'sesar', 'lembang']",typo anyingg sesar apa sesar lembang
1882615041507368960,Fri Jan 24 08:16:49 +0000 2025,9,byan wirarama di zona sesar lembang,1882704095376769361,https://pbs.twimg.com/media/GiC1Za6aMAAerZ3.jpg,foudebws,in,,0,0,0,https://x.com/undefined/status/1882704095376769361,1814600173160701952,,byan wirarama di zona sesar lembang,"['byan', 'wirarama', 'di', 'zona', 'sesar', 'lembang']",byan wirarama di zona sesar lembang
1882615041507368960,Fri Jan 24 02:22:57 +0000 2025,125,bang byaan jadi gimana nih bang apa mitigation efforts yg bisa diambil supaya tetep aman saat kita berada di jalur aktif zona sesar lembang jawab baangg jangan pose ganteng bangg,1882615041507369059,https://pbs.twimg.com/media/GiBkZllbwAATokC.jpg,,in,,1,3,5,https://x.com/undefined/status/1882615041507369059,1814600173160701952,,bang byaan jadi bagaimana nih bang apa mitigation efforts yang bisa diambil supaya tetap aman saat kita berasa di jalur aktif zona sesar lembang jawab baangg jangan pose ganteng bangg,"['bang', 'byaan', 'jadi', 'bagaimana', 'nih', 'bang', 'apa', 'mitigation', 'efforts', 'yang', 'bisa', 'diambil', 'supaya', 'tetap', 'aman', 'saat', 'kita', 'berasa', 'di', 'jalur', 'aktif', 'zona', 'sesar', 'lembang', 'jawab', 'baangg', 'jangan', 'pose', 'ganteng', 'bangg']",bang byaan jadi bagaimana nih bang apa mitigation efforts yang bisa ambil supaya tetap aman saat kita asa di jalur aktif zona sesar lembang jawab baangg jangan pose ganteng bangg
1881921525089186048,Wed Jan 22 07:28:20 +0000 2025,2,Apa kabar juga stasiun padarang kereta cepat yg masuk dlm peta patahan aktif sesar lembang dg potensi gempa skala 6 5 7 magnitudo,1881967118549475427,,MarioIs_MyName,in,,0,1,0,https://x.com/undefined/status/1881967118549475427,1339383991,,Apa kabar juga stasiun padarang kereta cepat yang masuk dalam peta patahan aktif sesar lembang dengan potensi gempa skala 6 5 7 magnitudo,"['Apa', 'kabar', 'juga', 'stasiun', 'padarang', 'kereta', 'cepat', 'yang', 'masuk', 'dalam', 'peta', 'patahan', 'aktif', 'sesar', 'lembang', 'dengan', 'potensi', 'gempa', 'skala', '6', '5', '7', 'magnitudo']",apa kabar juga stasiun padarang kereta cepat yang masuk dalam peta patah aktif sesar lembang dengan potensi gempa skala 6 5 7 magnitudo
1881703337340604928,Tue Jan 21 14:03:46 +0000 2025,1,dari kecil main SimCity dulu suka banget gambar jalan tol demen explore forum SkyscraperCity tugas jurspes soal ruang terbuka hijau skripsi soal sesar Lembang random thoughts continues,1881704242463068486,,madsimad,in,,0,0,0,https://x.com/undefined/status/1881704242463068486,44855315,,dari kecil main SimCity dahulu suka banget gambar jalan tol suka explore forum SkyscraperCity tugas jurspes soal ruang terbuka hijau skripsi soal sesar Lembang random thoughts continues,"['dari', 'kecil', 'main', 'SimCity', 'dahulu', 'suka', 'banget', 'gambar', 'jalan', 'tol', 'suka', 'explore', 'forum', 'SkyscraperCity', 'tugas', 'jurspes', 'soal', 'ruang', 'terbuka', 'hijau', 'skripsi', 'soal', 'sesar', 'Lembang', 'random', 'thoughts', 'continues']",dari kecil main simcity dahulu suka banget gambar jalan tol suka explore forum skyscrapercity tugas jurspes soal ruang terbuka hijau skripsi soal sesar lembang random thoughts continues
1881507398558659072,Tue Jan 21 02:45:18 +0000 2025,0,lembang sesar,1881533501201367446,,seazaltlatte,in,,0,0,0,https://x.com/undefined/status/1881533501201367446,1457745991952601088,,lembang sesar,"['lembang', 'sesar']",lembang sesar
1880834920538640896,Sun Jan 19 16:58:42 +0000 2025,0,jadi inget tentang sesar lembang itu,1881023489282539572,,nellesta__,in,,0,0,0,https://x.com/undefined/status/1881023489282539572,1753433987895435008,,jadi inget tentang sesar lembang itu,"['jadi', 'inget', 'tentang', 'sesar', 'lembang', 'itu']",jadi inget tentang sesar lembang itu
1880834920538640896,Sun Jan 19 11:56:21 +0000 2025,0,sesar lembang sih ngeri takut banget,1880947403584585870,,nellesta__,in,,0,0,0,https://x.com/undefined/status/1880947403584585870,500593556,,sesar lembang sih mengerikan takut banget,"['sesar', 'lembang', 'sih', 'mengerikan', 'takut', 'banget']",sesar lembang sih ngeri takut banget
1880834920538640896,Sun Jan 19 10:30:22 +0000 2025,0,paling ngeri si katanya sesar lembang,1880925765145149497,,nellesta__,in,,0,0,0,https://x.com/undefined/status/1880925765145149497,1433750119946472960,,paling mengerikan sih katanya sesar lembang,"['paling', 'mengerikan', 'sih', 'katanya', 'sesar', 'lembang']",paling ngeri sih kata dia sesar lembang
1880834920538640896,Sun Jan 19 04:37:16 +0000 2025,0,Sesar Lembang Berada di sekitar Bandung Jawa Barat dan memiliki potensi gempa yang perlu diwaspadai Sesar sangat penting dipelajari karena berkaitan erat dengan mitigasi bencana alam engan memahami pergerakan sesar kita bisa lebih siap menghadapi potensi bencana,1880836901747441776,,nellesta__,in,,0,0,0,https://x.com/undefined/status/1880836901747441776,352451595,,Sesar Lembang Berada di sekitar Bandung Jawa Barat dan memiliki potensi gempa yang perlu diwaspadai Sesar sangat penting dipelajari karena berkaitan erat dengan mitigasi bencana alam engan memahami pergerakan sesar kita bisa lebih siap menghadapi potensi bencana,"['Sesar', 'Lembang', 'Berada', 'di', 'sekitar', 'Bandung', 'Jawa', 'Barat', 'dan', 'memiliki', 'potensi', 'gempa', 'yang', 'perlu', 'diwaspadai', 'Sesar', 'sangat', 'penting', 'dipelajari', 'karena', 'berkaitan', 'erat', 'dengan', 'mitigasi', 'bencana', 'alam', 'engan', 'memahami', 'pergerakan', 'sesar', 'kita', 'bisa', 'lebih', 'siap', 'menghadapi', 'potensi', 'bencana']",sesar lembang rada di sekitar bandung jawa barat dan milik potensi gempa yang perlu waspada sesar sangat penting pelajar karena kait erat dengan mitigasi bencana alam engan paham gerak sesar kita bisa lebih siap hadap potensi bencana
