conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1882993167135585024,Sat Jan 25 05:08:02 +0000 2025,0,typo anyingggg sesar apaan sesar lembang????,1883018971114586210,,carpentrest,in,,0,1,0,https://x.com/undefined/status/1883018971114586210,1284778320626774016,
1882615041507368960,Fri Jan 24 08:16:49 +0000 2025,9,byan wirarama di zona sesar lembang https://t.co/tql01RUY9x,1882704095376769361,https://pbs.twimg.com/media/GiC1Za6aMAAerZ3.jpg,foudebws,in,,0,0,0,https://x.com/undefined/status/1882704095376769361,1814600173160701952,
1882615041507368960,Fri Jan 24 02:22:57 +0000 2025,125,bang byaaaaan jadi gimana nih bang apa mitigation efforts yg bisa diambil supaya tetep aman saat kita berada di jalur aktif zona sesar lembang???? jawab baaanggg jangan pose ganteng bangggg https://t.co/wDOXlI8XTr,1882615041507369059,https://pbs.twimg.com/media/GiBkZllbwAATokC.jpg,,in,,1,3,5,https://x.com/undefined/status/1882615041507369059,1814600173160701952,
1881921525089186048,Wed Jan 22 07:28:20 +0000 2025,2,@PenculikBangsat Apa kabar juga stasiun padarang kereta cepat yg masuk dlm peta patahan aktif sesar lembang (dg potensi gempa skala 6 5 - 7 magnitudo) ,1881967118549475427,,MarioIs_MyName,in,,0,1,0,https://x.com/undefined/status/1881967118549475427,1339383991,
1881703337340604928,Tue Jan 21 14:03:46 +0000 2025,1,dari kecil main SimCity dulu suka banget gambar jalan tol demen explore forum SkyscraperCity tugas jurspes soal ruang terbuka hijau skripsi soal sesar Lembang .. (random thoughts continues),1881704242463068486,,madsimad,in,,0,0,0,https://x.com/undefined/status/1881704242463068486,44855315,
1881507398558659072,Tue Jan 21 02:45:18 +0000 2025,0,@loveurzalf lembang sesar,1881533501201367446,,seazaltlatte,in,,0,0,0,https://x.com/undefined/status/1881533501201367446,1457745991952601088,
1880834920538640896,Sun Jan 19 16:58:42 +0000 2025,0,@nellesta__ jadi inget tentang sesar lembang itu,1881023489282539572,,nellesta__,in,,0,0,0,https://x.com/undefined/status/1881023489282539572,1753433987895435008,
1880834920538640896,Sun Jan 19 11:56:21 +0000 2025,0,@nellesta__ sesar lembang sih ngeri takut banget,1880947403584585870,,nellesta__,in,,0,0,0,https://x.com/undefined/status/1880947403584585870,500593556,
1880834920538640896,Sun Jan 19 10:30:22 +0000 2025,0,@nellesta__ paling ngeri si katanya sesar lembang,1880925765145149497,,nellesta__,in,,0,0,0,https://x.com/undefined/status/1880925765145149497,1433750119946472960,
1880834920538640896,Sun Jan 19 04:37:16 +0000 2025,0,Sesar Lembang: Berada di sekitar Bandung Jawa Barat dan memiliki potensi gempa yang perlu diwaspadai. Sesar sangat penting dipelajari karena berkaitan erat dengan mitigasi bencana alam. Dengan memahami pergerakan sesar kita bisa lebih siap menghadapi potensi bencana. ,1880836901747441776,,nellesta__,in,,0,0,0,https://x.com/undefined/status/1880836901747441776,352451595,
1880193405294374912,Fri Jan 17 11:14:57 +0000 2025,0,@Duntzrawk @infobdg Lewat sesar lembang mereun,1880212208631836971,,Duntzrawk,in,,0,0,0,https://x.com/undefined/status/1880212208631836971,40375504,
1880074523057200896,Fri Jan 17 05:45:16 +0000 2025,0,@BaseBDG Lembang jgn di apa2in lagi bisa ga sih ngeri nyenggol sesar ,1880129238743019717,,BaseBDG,in,,0,0,0,https://x.com/undefined/status/1880129238743019717,139004851,
1880082526095699968,Fri Jan 17 02:39:39 +0000 2025,0,hariwang ku sesar lembang pak kumaha ieu?,1880082526095700319,,,in,,0,0,0,https://x.com/undefined/status/1880082526095700319,1550940538597409024,
1880079301426733056,Fri Jan 17 02:26:50 +0000 2025,0,ngaliwatan sesar lembang teu paur euy,1880079301426733127,,,in,,0,0,0,https://x.com/undefined/status/1880079301426733127,1135818094541065984,
1879859675241553920,Thu Jan 16 12:19:33 +0000 2025,0,@HazelnutChoco69 Jangan kak. Sesar lembang meledak pun kucing dan PC gw adalah priortas ,1879866074700918997,,HazelnutChoco69,in,,0,1,0,https://x.com/undefined/status/1879866074700918997,1861956843817538048,
1879693262015095040,Thu Jan 16 01:59:59 +0000 2025,0,@FindingAsu sesar lembang,1879710155887268035,,FindingAsu,in,,0,0,0,https://x.com/undefined/status/1879710155887268035,1177085890482490880,
1879426207093288960,Wed Jan 15 16:58:30 +0000 2025,0,@PRFMnews Pak gk inget sesar lembang yaaa? Gk usah bikin tol/jembatan dll. Benahi transportasi umum benahi pungli Mau parisiwisata maju tpi pungli merajarela euyy,1879573887450759447,,PRFMnews,in,,0,0,0,https://x.com/undefined/status/1879573887450759447,308900093,
1879540130345792000,Wed Jan 15 14:44:24 +0000 2025,0,Soal ini sa selalu ingat saat ikut int. conference Endinamosis di ITB tahun 2019. Saat itu LIPI udah berbusa-busa preaentasi panel soal bahaya sesar Lembang dn iyu gak matching sama proyek KCIC. Udah memberi saran ke pemerintah. Tapi apa? Kita tahu sendiri political will lagi.,1879540142802944112,,radenmasdimas__,in,,0,1,0,https://x.com/undefined/status/1879540142802944112,3049420736,
1879496420220441088,Wed Jan 15 12:17:45 +0000 2025,0,@dobelden @infoBMKG Mungkin karena ini https://t.co/ODlo1ljSco,1879503234940965155,,dobelden,in,,0,1,0,https://x.com/undefined/status/1879503234940965155,62059706,
1879426207093288960,Wed Jan 15 10:27:15 +0000 2025,0,@PRFMnews Apa kabar itu sesar Lembang? Cipularang aja sering ambles gitu.,1879475425367474336,,PRFMnews,in,,0,0,0,https://x.com/undefined/status/1879475425367474336,73327619,
1879019255112638976,Wed Jan 15 03:26:03 +0000 2025,0,@Outstandjing Ga akan pd takut sesar lembang soalnya ,1879369430779769071,,Outstandjing,in,,0,0,0,https://x.com/undefined/status/1879369430779769071,63427097,
1879116310803803904,Tue Jan 14 23:00:50 +0000 2025,0,@zakiberkata Dayum and Bandung still safe. (Tapi ada sesar lembang there).,1879302682911072606,,zakiberkata,in,,0,0,0,https://x.com/undefined/status/1879302682911072606,1868451594469302016,
1879135434158294016,Tue Jan 14 11:56:14 +0000 2025,0,Melihat getsk gerik pemerintah sepertinya sesar lembang sebentar lagi.......,1879135434158293409,,,in,,0,1,0,https://x.com/undefined/status/1879135434158293409,875763686337462272,
